url,Picture URL,Brand,Product Name,Model,Model Name,Price in India,1 Stars,2 Stars,3 Stars,4 Stars,5 Stars,Colour,Bluetooth,Type,Connectivity,Headphone Type,Model Number,Launched,Microphone,Frequency Response Range,Weight (g),Connector Size,Impedance (Ohms),Sensitivity (dB),Cord Length (Metres),Driver Size (mm),Speaker Type,Wired/Wireless,Power Source,Configuration,Features,Memory Card Slot,Impedance,Frequency Response,Height,Width,Depth,Power Output,Driver Type,Bluetooth Version,Compatible Devices,Battery Life (Hrs),Inline Remote,Foldable,Battery,Water Resistant,Built-in Fm Radio,Charging Time (Hrs),Bluetooth Range,other_info
https://gadgets.ndtv.com/zebronics-future-wireless-bluetooth-speaker-12832,https://i.gadgets360cdn.com/products/audio/large/1552567227_832_zebronics_future-wireless-bluetooth-speaker.jpg?downsize=*:180&amp;output-quality=80&amp;output-format=webp,Zebronics,Zebronics Future Wireless Bluetooth Speaker (Black),Future Wireless Bluetooth Speaker,Future,"5,680",0,0,0,0,0,Black,Yes,,,,,,,,,,,,,,Home Audio,Wireless,Battery,4.1 (5 Channel),Bluetooth,Yes,8 Ohms,20Hz-20KHz,30,29,28,,"1 Subwoofer, 4 Satellites",,"TV, Mobile, Computer, Laptop",,,,,,Yes,,10 meter,"{'Connector Type': 'RCA Jack', 'Headphone Jack': 'No', 'USB Ports': '1 USB Ports', 'Signal to Noise Ratio': '72 dB', 'Remote Control Support': 'Yes', 'Outdoor Usage': 'No', 'Memory Card Supported': 'SD Card', 'Technology Used': 'Stereo Surround Technology', 'Power Input': '110-240V, 50 Hz', 'Subwoofer': '1', 'Maximum Output RMS Per Satellite': '15 W', 'Subwoofer Height': '33 mm', 'Satellite Height': '32 mm', 'Subwoofer Depth': '32 mm', 'Amplifier': 'Bulit In Amplifier', 'Wall Mountable Satellite': 'No', 'Subwoofer Width': '22 mm', 'Audio Codec': 'MP3', 'Subwoofer Weight': '6 kg', 'Maximum Output RMS Subwoofer': '45 W', 'Cable Length': '1.5 meter', 'Driver Size': 'Subwoofer Driver: 165.1 mm', 'Maximum Output RMS Center Satellite': '15 W', 'Sensitivity': '50 dB'}"
https://gadgets.ndtv.com/zebronics-indie-wireless-bluetooth-speaker-12843,https://i.gadgets360cdn.com/products/audio/large/1552567236_832_zebronics_indie-wireless-bluetooth-speaker.jpg?downsize=*:180&amp;output-quality=80&amp;output-format=webp,Zebronics,Zebronics Indie Wireless Bluetooth Speaker (Black),Indie Wireless Bluetooth Speaker,Indie,"5,299",0,0,0,0,0,Black,Yes,,,,,,,,,,,,,,Home Audio,Wireless,Battery,4.1 (5 Channel),Bluetooth,Yes,8 Ohms,40Hz-150Hz,31,28,29,105W,"1 Subwoofer, 4 Satellites",,"TV, Mobile, Computer, Laptop",,,,,,Yes,,10 meter,"{'Connector Type': 'RCA Jack', 'Headphone Jack': 'No', 'USB Ports': '1 USB Ports', 'Signal to Noise Ratio': '72 dB', 'Remote Control Support': 'Yes', 'Outdoor Usage': 'No', 'Memory Card Supported': 'SD Card', 'Technology Used': 'Stereo Surround Technology', 'Power Input': '110-240V, 50 Hz', 'Subwoofer': '4', 'Maximum Output RMS Per Satellite': '15 W', 'Subwoofer Height': '370 mm', 'Satellite Height': '95 mm', 'Subwoofer Depth': '320 mm', 'Amplifier': 'Bulit In Amplifier', 'Wall Mountable Satellite': 'No', 'Subwoofer Width': '200 mm', 'Audio Codec': 'MP3', 'Maximum Output RMS Subwoofer': '45 W', 'Cable Length': '1 meter', 'Maximum Output RMS Center Satellite': '15 W', 'Sensitivity': '500 dB', 'Coverage Pattern': '10 meter'}"
https://gadgets.ndtv.com/zebronics-electro-wireless-bluetooth-speaker-12828,https://i.gadgets360cdn.com/products/audio/large/1552567223_832_zebronics_electro-wireless-bluetooth-speaker.jpg?downsize=*:180&amp;output-quality=80&amp;output-format=webp,Zebronics,,Electro Wireless Bluetooth Speaker,Electro,,0,0,0,0,0,Black,Yes,,,,,,,,,,,,,,Home Audio,Wireless,Battery,4.1 (5 Channel),Bluetooth,Yes,4 Ohms,40Hz-150Hz,21,21,20,60W,1,,"TV, Mobile, Computer, Laptop",,,,,,Yes,,10 meter,"{'Connector Type': 'RCA Jack', 'Headphone Jack': 'No', 'USB Ports': '1 USB Ports', 'Signal to Noise Ratio': '72 dB', 'Remote Control Support': 'Yes', 'Outdoor Usage': 'No', 'Memory Card Supported': 'SD Card', 'Technology Used': 'Stereo Surround Technology', 'Power Input': '110-240V, 50 Hz', 'Subwoofer': '1', 'Maximum Output RMS Per Satellite': '10 W', 'Subwoofer Height': '21 mm', 'Satellite Height': '13 mm', 'Subwoofer Depth': '20 mm', 'Amplifier': 'Bulit In Amplifier', 'Wall Mountable Satellite': 'No', 'Subwoofer Width': '20 mm', 'Audio Codec': 'MP3', 'Subwoofer Weight': '2.5 kg', 'Maximum Output RMS Subwoofer': '20 W', 'Cable Length': '1 meter', 'Driver Size': 'Subwoofer Driver: 127 mm', 'Maximum Output RMS Center Satellite': '10 W'}"
https://gadgets.ndtv.com/zebronics-mambo-wireless-bluetooth-speaker-12856,https://i.gadgets360cdn.com/products/audio/large/1552567246_832_zebronics_mambo-wireless-bluetooth-speaker.jpg?downsize=*:180&amp;output-quality=80&amp;output-format=webp,Zebronics,,Mambo Wireless Bluetooth Speaker,Mambo,,0,0,0,0,0,Black,Yes,,,,,,,,,,,,,,Home Audio,Wireless,Battery,4.1 (5 Channel),Bluetooth,Yes,8 Ohms,20Hz-20KHz,40,38,35,,"1 Subwoofer, 4 satellites",,"TV, Mobile, Computer, Laptop",,,,,,Yes,,10 meter,"{'Connector Type': 'RCA Jack', 'Headphone Jack': 'No', 'USB Ports': '1 USB Ports', 'Signal to Noise Ratio': '72 dB', 'Controls': 'Bass Level Control', 'Remote Control Support': 'Yes', 'Outdoor Usage': 'No', 'Memory Card Supported': 'SD Card', 'Technology Used': 'Stereo Surround Technology', 'Power Input': '110-240V, 50 Hz', 'Subwoofer': '1', 'Maximum Output RMS Per Satellite': '15 W', 'Subwoofer Height': '32 mm', 'Satellite Height': '32 mm', 'Subwoofer Depth': '34 mm', 'Amplifier': 'Bulit In Amplifier', 'Wall Mountable Satellite': 'No', 'Subwoofer Width': '22 mm', 'Audio Codec': 'MP3', 'Subwoofer Weight': '6 kg', 'Maximum Output RMS Subwoofer': '45 W', 'Cable Length': '1 meter', 'Maximum Output RMS Center Satellite': '15 W', 'Sensitivity': '50 dB'}"
https://gadgets.ndtv.com/zebronics-hope-wireless-bluetooth-speaker-12841,https://i.gadgets360cdn.com/products/audio/large/1552567235_832_zebronics_hope-wireless-bluetooth-speaker.jpg?downsize=*:180&amp;output-quality=80&amp;output-format=webp,Zebronics,Zebronics Hope Wireless Bluetooth Speaker (Black),Hope Wireless Bluetooth Speaker,Hope,"3,434",0,0,0,0,0,Black,Yes,,,,,,,,,,,,,,Home Audio,Wireless,Battery,4.1 (5 Channel),Bluetooth,Yes,4 Ohms,180Hz-20Hz,31,305,285,,"1 Subwoofer, 4 Satellites",,"Mobile, Computer, Tablet",,,,,,Yes,,8 meter,"{'Connector Type': 'RCA Jack', 'Headphone Jack': 'No', 'USB Ports': '1 USB Ports', 'Signal to Noise Ratio': '72 dB', 'Controls': 'Bass Level Control', 'Remote Control Support': 'Yes', 'Outdoor Usage': 'No', 'Memory Card Supported': 'SD Card', 'Technology Used': 'Stereo Surround Technology', 'Power Input': '110-240V, 50 Hz', 'Subwoofer': '1', 'Maximum Output RMS Per Satellite': '10 W', 'Amplifier': 'Bulit In Amplifier', 'Wall Mountable Satellite': 'No', 'Audio Codec': 'MP3', 'Subwoofer Weight': '6 kg', 'Maximum Output RMS Subwoofer': '20 W', 'Cable Length': '1 meter', 'Driver Size': 'Subwoofer Driver: 133 mm', 'Maximum Output RMS Center Satellite': '10 W', 'Sensitivity': '60 dB'}"
https://gadgets.ndtv.com/zebronics-tonic-wireless-bluetooth-speaker-12945,https://i.gadgets360cdn.com/products/audio/large/1552567305_832_zebronics_tonic-wireless-bluetooth-speaker.jpg?downsize=*:180&amp;output-quality=80&amp;output-format=webp,Zebronics,Zebronics Tonic Wireless Bluetooth Speaker (Black),Tonic Wireless Bluetooth Speaker,Tonic,"5,999",0,0,0,0,0,Black,Yes,,,,,,,,,,,,,,Home Audio,Wireless,Battery,5.1 (6 Channel),Bluetooth,Yes,8 Ohms,35Hz-20KHz,340,330,200,90W,1,,"TV, Mobile, Computer, Laptop",,,,,,Yes,,10 meter,"{'Connector Type': 'RCA Jack', 'Headphone Jack': 'No', 'USB Ports': '1 USB Ports', 'Signal to Noise Ratio': '68 dB', 'Controls': 'Bass Level Control', 'Remote Control Support': 'Yes', 'Outdoor Usage': 'No', 'Memory Card Supported': 'SD Card', 'Technology Used': 'Digital Sound Processing Technology', 'Power Input': '110-240V, 50 Hz', 'Maximum Output RMS Per Satellite': '10 W', 'Amplifier': 'Bulit In Amplifier', 'Wall Mountable Satellite': 'No', 'Audio Codec': 'MP3', 'Maximum Output RMS Subwoofer': '40 W', 'Cable Length': '1.5 meter', 'Maximum Output RMS Center Satellite': '10 W', 'Sensitivity': '60 dB', 'Bluetooth version': 2.1}"
https://gadgets.ndtv.com/zebronics-station-2-wireless-bluetooth-speaker-12906,https://i.gadgets360cdn.com/products/audio/large/1552567279_832_zebronics_station-2-wireless-bluetooth-speaker.jpg?downsize=*:180&amp;output-quality=80&amp;output-format=webp,Zebronics,Zebronics Station 2 Wireless Portable Bluetooth Speaker (Black),Station 2 Wireless Bluetooth Speaker,Station 2,"4,899",0,0,0,0,0,Black,Yes,,,,,,,,,,,,,,Mobile or Tablet or Laptop,Wireless,Battery,2.1 (3 Channel),Bluetooth,Yes,8 Ohms,20Hz-20KHz,30,28,29,,"1 Subwoofer, 2 Satellites",,"Mobile, Computer, Tablet",,,,,,Yes,,10 meter,"{'Connector Type': 'RCA Jack', 'Headphone Jack': 'No', 'USB Ports': '1 USB Ports', 'Signal to Noise Ratio': '72 dB', 'Controls': 'Volume Control', 'Remote Control Support': 'Yes', 'Outdoor Usage': 'No', 'Memory Card Supported': 'SD Card', 'Technology Used': 'Stereo Surround Technology', 'Power Input': '110-240V, 50 Hz', 'Subwoofer': '1', 'Maximum Output RMS Per Satellite': '10 W', 'Amplifier': 'Bulit In Amplifier', 'Wall Mountable Satellite': 'No', 'Audio Codec': 'MP3', 'Maximum Output RMS Subwoofer': '30 W', 'Maximum Output RMS Center Satellite': '10 W', 'Tweeter Support': 'Yes'}"
https://gadgets.ndtv.com/zebronics-sw3494-wired-speaker-12924,https://i.gadgets360cdn.com/products/audio/large/1552567291_832_zebronics_sw3494-wired-speaker.jpg?downsize=*:180&amp;output-quality=80&amp;output-format=webp,Zebronics,Zebronics SW3494 Wired Speaker (Black),SW3494 Wired Speaker,SW3494,"2,220",0,0,0,0,0,Black,No,,,,,,,,,,,,,,Home Audio,Wired,AC Adapter,5.1 (6 Channel),,Yes,8 Ohms,35Hz-20Hz,31,30,295,,"1 Subwoofer, 5 Satellites",,"Mobile, Computer, Tablet",,,,,,Yes,,10 meter,"{'Headphone Jack': 'No', 'USB Ports': '1 USB Ports', 'Signal to Noise Ratio': '68 dB', 'Remote Control Support': 'Yes', 'Outdoor Usage': 'No', 'Memory Card Supported': 'SD Card', 'Power Input': '110-240V, 50 Hz', 'Subwoofer': '1', 'Maximum Output RMS Per Satellite': '10 W', 'Subwoofer Height': '99 mm', 'Satellite Height': '95 mm', 'Subwoofer Depth': '95 mm', 'Wall Mountable Satellite': 'No', 'Subwoofer Width': '92 mm', 'Subwoofer Weight': '3 kg', 'Maximum Output RMS Subwoofer': '30 W', 'Cable Length': '1 meter', 'Maximum Output RMS Center Satellite': '10 W', 'Sensitivity': '95 dB'}"
https://gadgets.ndtv.com/zebronics-spk-bt3490-wireless-bluetooth-speaker-12899,https://i.gadgets360cdn.com/products/audio/large/1552567274_832_zebronics_spk-bt3490-wireless-bluetooth-speaker.jpg?downsize=*:180&amp;output-quality=80&amp;output-format=webp,Zebronics,Zebronics SPK-BT3490 Wireless Bluetooth Speaker (Black),SPK-BT3490 Wireless Bluetooth Speaker,SPK-BT3490,"2,999",0,0,0,0,0,Black,Yes,,,,,,,,,,,,,,Home Audio,Wireless,Battery,4.1 (5 Channel),Bluetooth,Yes,4 Ohms,20Hz-20KHz,28,23,25,60W,"1 Subwoofer, 4 Satellites",,"TV, Mobile, Computer, Laptop",,,,,,Yes,,10 meter,"{'Connector Type': 'RCA Jack', 'Headphone Jack': 'No', 'USB Ports': '1 USB Ports', 'Signal to Noise Ratio': '72 dB', 'Remote Control Support': 'Yes', 'Outdoor Usage': 'No', 'Memory Card Supported': 'SD Card', 'Technology Used': 'Stereo Surround Technology', 'Power Input': '110-240V, 50 Hz', 'Subwoofer': '1', 'Maximum Output RMS Per Satellite': '10 W', 'Amplifier': 'Bulit In Amplifier', 'Wall Mountable Satellite': 'No', 'Audio Codec': 'MP3', 'Maximum Output RMS Subwoofer': '20 W', 'Cable Length': '1 meter', 'Maximum Output RMS Center Satellite': '10 W'}"
https://gadgets.ndtv.com/zebronics-punch-wireless-bluetooth-speaker-12873,https://i.gadgets360cdn.com/products/audio/large/1552567257_832_zebronics_punch-wireless-bluetooth-speaker.jpg?downsize=*:180&amp;output-quality=80&amp;output-format=webp,Zebronics,Zebronics Punch Wireless Portable Bluetooth Speaker (Black),Punch Wireless Bluetooth Speaker,Punch,999,0,0,0,0,0,Black,Yes,,,,,,,,,,,,,,Home Audio,Wireless,Battery,2.1 (3 Channel),Bluetooth,Yes,4 Ohms,35Hz-200Hz,,,,,"1 Subwoofer, 2 Satellites",,"Mobile, Computer, Tablet",,,,,,Yes,,10 meter,"{'Connector Type': 'RCA Jack', 'Headphone Jack': 'No', 'USB Ports': '1 USB Ports', 'Signal to Noise Ratio': '68 dB', 'Controls': 'Bass Level Control', 'Remote Control Support': 'Yes', 'Outdoor Usage': 'No', 'Memory Card Supported': 'SD Card', 'Technology Used': 'Stereo Surround Technology', 'Power Input': '110-240V, 50 Hz', 'Subwoofer': '1', 'Maximum Output RMS Per Satellite': '20 W', 'Amplifier': 'Bulit In Amplifier', 'Wall Mountable Satellite': 'No', 'Audio Codec': 'MP3', 'Subwoofer Weight': '4 kg', 'Maximum Output RMS Subwoofer': '60 W', 'Cable Length': '1 meter', 'Maximum Output RMS Center Satellite': '20 W', 'Sensitivity': '60 dB'}"
